"";"Sample_name";"D0";"D1";"sd.D1";"D2";"sd.D2";"Evenness";"Organisation";"CV"
"LOW_F12_39_t1_5000x.fcs";"LOW_F12_39_t1_5000x.fcs";14388;5754,88402164395;49,9779730344915;3957,53718165148;54,6873892965085;0,295486128437741;0,0761315890346332;162,355260457237
"LOW_F12_39_t5_5000x.fcs";"LOW_F12_39_t5_5000x.fcs";13564;4443,43477171054;41,5171128172575;2816,22191475131;37,7338156670002;0,246323571232794;0,0793427882243498;195,359878534701
"LOW_G01_17_t1_100x.fcs";"LOW_G01_17_t1_100x.fcs";14115;4871,30632118427;73,3263777703587;2703,61406639757;47,6261225805829;0,269895044637101;0,0495532272290427;203,91887212752
"LOW_G01_17_t5_100x.fcs";"LOW_G01_17_t5_100x.fcs";11714;3020,17121932871;56,084275017422;1604,89211927911;28,9310011437742;0,210987508260059;0,046324760455998;252,234479255623
"LOW_G01_40_t1_5000x.fcs";"LOW_G01_40_t1_5000x.fcs";12515;3779,06244789131;47,5666886419622;2168,24689545986;35,0490306102483;0,237127781346589;0,0641879462902607;217,957243004931
"LOW_G01_40_t5_5000x.fcs";"LOW_G01_40_t5_5000x.fcs";13205;3929,65018209575;45,6930351040692;2321,96370656121;30,8437736449107;0,22964191513888;0,0575243384940904;216,724765859054
"LOW_G02_17_t1_100x.fcs";"LOW_G02_17_t1_100x.fcs";14061;4700,78345635663;46,6167486984952;2840,20379350303;55,4259441938192;0,257500806552275;0,0613395974839549;199,001800967902
"LOW_G02_17_t5_100x.fcs";"LOW_G02_17_t5_100x.fcs";11576;3139,34215205194;48,9591346185005;1639,32767897122;37,7842185147846;0,222178981420661;0,0455870484127253;246,628559686011
"LOW_G02_40_t1_5000x.fcs";"LOW_G02_40_t1_5000x.fcs";15017;5916,34654752758;45,1444171733349;3976,26529616187;47,5777167380896;0,294055864172375;0,0844252435417703;166,223687415372
"LOW_G02_40_t5_5000x.fcs";"LOW_G02_40_t5_5000x.fcs";12579;4174,92455852476;47,8754202449776;2678,62127209313;34,3027988880827;0,249723830399047;0,0707163094676101;192,170759173148
"LOW_G03_17_t1_100x.fcs";"LOW_G03_17_t1_100x.fcs";14192;4902,31901271615;67,4197944424224;2737,1058271777;45,867174478319;0,271544449900674;0,0468196368629166;204,864335410952
"LOW_G03_17_t5_100x.fcs";"LOW_G03_17_t5_100x.fcs";11899;3071,20562642982;34,0392060309841;1629,71579719442;41,8949257500303;0,211919898233968;0,0503055242650377;252,028288645061
"LOW_G03_40_t1_5000x.fcs";"LOW_G03_40_t1_5000x.fcs";11774;3536,33677235265;43,7023045613619;2072,2352721909;29,7418777492367;0,23421406097956;0,0624415777189155;215,744282782866
"LOW_G03_40_t5_5000x.fcs";"LOW_G03_40_t5_5000x.fcs";13197;4252,03397423669;35,7294235714174;2678,15274454566;26,8984786167452;0,244072368678694;0,0660549438421591;198,366918617234
"LOW_G04_17_t1_100x.fcs";"LOW_G04_17_t1_100x.fcs";13299;4675,87389485813;63,225884903668;2796,00218506935;61,0019088138329;0,269995981318626;0,0529160346294596;194,613440959422
"LOW_G04_17_t5_100x.fcs";"LOW_G04_17_t5_100x.fcs";11564;2823,79061137182;42,4703013179954;1455,57707770124;32,3485189542023;0,205494412852468;0,0417950504140942;263,544845828943
"LOW_G04_40_t1_5000x.fcs";"LOW_G04_40_t1_5000x.fcs";15272;5889,63531811108;51,6783306357049;3947,08054196988;58,3312425025058;0,287827804607415;0,0780679689971767;170,155323924767
"LOW_G04_40_t5_5000x.fcs";"LOW_G04_40_t5_5000x.fcs";13468;4494,73320220464;46,3227136012599;2846,72885789366;39,9739596166725;0,252670297409113;0,0681830039617388;193,150671986483
"LOW_G05_18_t1_5000x.fcs";"LOW_G05_18_t1_5000x.fcs";11312;4067,96429477989;31,1623247318155;2639,96843406501;34,7746445873391;0,270827707712813;0,0682453862941608;181,147816046118
"LOW_G05_18_t5_5000x.fcs";"LOW_G05_18_t5_5000x.fcs";12590;4327,73641378664;40,942968511855;2782,31032414461;33,4058268974439;0,258139916111235;0,0729449593806247;187,447364951739
"LOW_G06_18_t1_5000x.fcs";"LOW_G06_18_t1_5000x.fcs";11489;4016,91784500544;51,9837261875858;2578,09593417176;38,1201615122874;0,263951165435266;0,0635160288685387;185,438589959685
"LOW_G06_18_t5_5000x.fcs";"LOW_G06_18_t5_5000x.fcs";11594;3924,33858900688;32,5365767419502;2516,01367604815;29,7960262787258;0,254657399197628;0,0687765065231405;189,801355155668
"LOW_G07_18_t1_5000x.fcs";"LOW_G07_18_t1_5000x.fcs";11465;4054,16438347309;34,3791029721879;2559,20624114095;42,8169297569092;0,265622976576684;0,060396530581232;186,189461195651
"LOW_G07_18_t5_5000x.fcs";"LOW_G07_18_t5_5000x.fcs";13034;4456,28860503843;29,419747822068;2859,29421906973;52,0299052291753;0,257906860587353;0,0703376840175489;188,476904380227
"LOW_G08_18_t1_5000x.fcs";"LOW_G08_18_t1_5000x.fcs";11542;4039,26777652727;31,4241331168744;2647,39298886972;55,0829958818243;0,262204700904386;0,0663816094976643;183,881118218851
"LOW_G08_18_t5_5000x.fcs";"LOW_G08_18_t5_5000x.fcs";12047;4095,13240229712;46,8258997882026;2621,13646016125;35,1229728944721;0,25519805739105;0,0698312448926467;188,884609002485
"LOW_G09_19_t1_5000x.fcs";"LOW_G09_19_t1_5000x.fcs";12713;4279,98537528367;44,2508188063062;2638,15230226093;39,9094484693493;0,255555519587188;0,0614144462570804;195,805895960376
"LOW_G09_19_t5_5000x.fcs";"LOW_G09_19_t5_5000x.fcs";11809;4015,7941108273;39,9503840017857;2615,53931482447;37,6296931416892;0,253589245084901;0,0777748132426558;187,050606811064
"LOW_G10_19_t1_5000x.fcs";"LOW_G10_19_t1_5000x.fcs";12489;4099,65758628234;49,461967516987;2467,86802330779;48,3732895088662;0,251767255851197;0,0620318314098311;201,801812432038
"LOW_G10_19_t5_5000x.fcs";"LOW_G10_19_t5_5000x.fcs";13966;4830,5774927805;40,3831105555033;3226,34258081551;49,2307792261471;0,257330306927956;0,0692760307458085;182,833380705277
"LOW_G11_19_t1_5000x.fcs";"LOW_G11_19_t1_5000x.fcs";11901;4026,61701474278;36,4045654752361;2542,37821267618;34,7557895668669;0,256889553550253;0,063837459025759;193,021538717317
"LOW_G11_19_t5_5000x.fcs";"LOW_G11_19_t5_5000x.fcs";11782;4004,05505335096;36,4855782761614;2621,75937553101;39,8070076605109;0,254695864265498;0,073386271394257;187,783100384318
"LOW_G12_19_t1_5000x.fcs";"LOW_G12_19_t1_5000x.fcs";12639;4155,12389124279;51,7213799856472;2501,6015754073;39,1364940837034;0,251705980812247;0,0587766420190925;201,085626839857
